t	ch1	ch2
5.07E-04	-1.72E+00	2.40E+00
5.07E-04	-1.72E+00	2.32E+00
5.07E-04	-1.80E+00	2.24E+00
5.07E-04	-1.80E+00	2.24E+00
5.07E-04	-1.96E+00	2.16E+00
5.07E-04	-2.12E+00	2.24E+00
5.07E-04	-2.04E+00	2.16E+00
5.07E-04	-2.12E+00	2.08E+00
5.07E-04	-2.20E+00	2.00E+00
5.07E-04	-2.12E+00	2.00E+00
5.07E-04	-2.28E+00	2.08E+00
5.07E-04	-2.28E+00	1.84E+00
5.07E-04	-2.36E+00	1.92E+00
5.07E-04	-2.28E+00	1.92E+00
5.07E-04	-2.36E+00	1.84E+00
5.07E-04	-2.36E+00	1.84E+00
5.07E-04	-2.36E+00	1.60E+00
5.07E-04	-2.44E+00	1.68E+00
5.07E-04	-2.36E+00	1.60E+00
5.07E-04	-2.44E+00	1.60E+00
5.07E-04	-2.52E+00	1.60E+00
5.07E-04	-2.60E+00	1.44E+00
5.07E-04	-2.60E+00	1.44E+00
5.07E-04	-2.52E+00	1.36E+00
5.07E-04	-2.52E+00	1.36E+00
5.07E-04	-2.60E+00	1.36E+00
5.07E-04	-2.60E+00	1.20E+00
5.07E-04	-2.60E+00	1.28E+00
5.07E-04	-2.52E+00	1.12E+00
5.07E-04	-2.60E+00	1.12E+00
5.07E-04	-2.60E+00	1.20E+00
5.07E-04	-2.60E+00	9.60E-01
5.07E-04	-2.60E+00	9.60E-01
5.07E-04	-2.52E+00	9.60E-01
5.07E-04	-2.52E+00	8.80E-01
5.07E-04	-2.60E+00	8.80E-01
5.07E-04	-2.68E+00	8.00E-01
5.07E-04	-2.68E+00	8.00E-01
5.07E-04	-2.60E+00	7.20E-01
5.07E-04	-2.68E+00	6.40E-01
5.07E-04	-2.60E+00	6.40E-01
5.07E-04	-2.68E+00	6.40E-01
5.07E-04	-2.68E+00	5.60E-01
5.07E-04	-2.60E+00	4.00E-01
5.07E-04	-2.60E+00	4.80E-01
5.07E-04	-2.68E+00	4.80E-01
5.07E-04	-2.68E+00	4.00E-01
5.07E-04	-2.68E+00	3.20E-01
5.07E-04	-2.60E+00	3.20E-01
5.07E-04	-2.60E+00	3.20E-01
5.07E-04	-2.68E+00	3.20E-01
5.07E-04	-2.60E+00	1.60E-01
5.07E-04	-2.68E+00	2.40E-01
5.07E-04	-2.60E+00	8.00E-02
5.07E-04	-2.68E+00	1.60E-01
5.07E-04	-2.68E+00	1.60E-01
5.07E-04	-2.68E+00	8.00E-02
5.07E-04	-2.68E+00	8.00E-02
5.07E-04	-2.68E+00	-8.00E-02
5.07E-04	-2.68E+00	0.00E+00
5.07E-04	-2.68E+00	-8.00E-02
5.07E-04	-2.68E+00	-8.00E-02
5.07E-04	-2.68E+00	-1.60E-01
5.07E-04	-2.60E+00	-2.40E-01
5.07E-04	-2.60E+00	-1.60E-01
5.07E-04	-2.68E+00	-1.60E-01
5.07E-04	-2.68E+00	-3.20E-01
5.07E-04	-2.68E+00	-2.40E-01
5.07E-04	-2.60E+00	-4.00E-01
5.07E-04	-2.68E+00	-3.20E-01
5.07E-04	-2.68E+00	-3.20E-01
5.07E-04	-2.68E+00	-4.00E-01
5.07E-04	-2.68E+00	-4.00E-01
5.07E-04	-2.60E+00	-5.60E-01
5.07E-04	-2.68E+00	-5.60E-01
5.07E-04	-2.68E+00	-4.80E-01
5.07E-04	-2.68E+00	-5.60E-01
5.07E-04	-2.68E+00	-5.60E-01
5.07E-04	-2.60E+00	-7.20E-01
5.07E-04	-2.60E+00	-7.20E-01
5.07E-04	-2.68E+00	-6.40E-01
5.07E-04	-2.68E+00	-7.20E-01
5.07E-04	-2.68E+00	-7.20E-01
5.07E-04	-2.60E+00	-8.80E-01
5.07E-04	-2.68E+00	-8.80E-01
5.07E-04	-2.68E+00	-8.00E-01
5.07E-04	-2.76E+00	-8.00E-01
5.07E-04	-2.68E+00	-9.60E-01
5.07E-04	-2.60E+00	-1.04E+00
5.07E-04	-2.68E+00	-9.60E-01
5.07E-04	-2.68E+00	-8.80E-01
5.07E-04	-2.68E+00	-1.04E+00
5.07E-04	-2.68E+00	-9.60E-01
5.07E-04	-2.68E+00	-1.20E+00
5.07E-04	-2.68E+00	-1.12E+00
5.07E-04	-2.68E+00	-1.04E+00
5.07E-04	-2.68E+00	-1.12E+00
5.07E-04	-2.68E+00	-1.12E+00
5.07E-04	-2.60E+00	-1.28E+00
5.07E-04	-2.60E+00	-1.28E+00
5.07E-04	-2.68E+00	-1.20E+00
5.07E-04	-2.68E+00	-1.36E+00
5.07E-04	-2.68E+00	-1.28E+00
5.07E-04	-2.68E+00	-1.36E+00
5.07E-04	-2.60E+00	-1.44E+00
5.07E-04	-2.68E+00	-1.36E+00
5.07E-04	-2.68E+00	-1.44E+00
5.07E-04	-2.68E+00	-1.52E+00
5.07E-04	-2.60E+00	-1.60E+00
5.07E-04	-2.68E+00	-1.52E+00
5.07E-04	-2.68E+00	-1.44E+00
5.07E-04	-2.68E+00	-1.52E+00
5.07E-04	-2.68E+00	-1.60E+00
5.07E-04	-2.60E+00	-1.68E+00
5.07E-04	-2.60E+00	-1.68E+00
5.08E-04	-2.60E+00	-1.60E+00
5.08E-04	-2.68E+00	-1.68E+00
5.08E-04	-2.68E+00	-1.76E+00
5.08E-04	-2.60E+00	-1.84E+00
5.08E-04	-2.68E+00	-1.76E+00
5.08E-04	-2.68E+00	-1.76E+00
5.08E-04	-2.68E+00	-1.84E+00
5.08E-04	-2.68E+00	-1.84E+00
5.08E-04	-2.60E+00	-1.92E+00
5.08E-04	-2.60E+00	-1.92E+00
5.08E-04	-2.60E+00	-1.84E+00
5.08E-04	-2.68E+00	-2.00E+00
5.08E-04	-2.68E+00	-2.00E+00
5.08E-04	-2.60E+00	-2.08E+00
5.08E-04	-2.68E+00	-2.08E+00
5.08E-04	-2.68E+00	-2.00E+00
5.08E-04	-2.68E+00	-2.08E+00
5.08E-04	-2.68E+00	-2.08E+00
5.08E-04	-2.60E+00	-2.16E+00
5.08E-04	-2.68E+00	-2.16E+00
5.08E-04	-2.68E+00	-2.16E+00
5.08E-04	-2.68E+00	-2.24E+00
5.08E-04	-2.68E+00	-2.16E+00
5.08E-04	-2.60E+00	-2.32E+00
5.08E-04	-2.68E+00	-2.24E+00
5.08E-04	-2.60E+00	-2.24E+00
5.08E-04	-2.68E+00	-2.32E+00
5.08E-04	-2.68E+00	-2.32E+00
5.08E-04	-2.60E+00	-2.40E+00
5.08E-04	-2.68E+00	-2.32E+00
